शहर,শহর
रानी,রানী
दुकान,দোকান
लड़ाई,লড়াই
मंदिर,মন্দির
पंडित,পন্ডিত
लंबा,লম্বা
अभिनय,অভিনয়
अबुजा,অবুজ
असलम,আসলাম
आशुतोष,আশুতোষ
अकथनीय,অকথন
अकर्मक,অকর্মক
अकाली,অকালি
अक्साना,অক্ষণ
अक्षांश,অক্ষাংশ
अक्षीय,অক্ষীয়
अगस्त्य,অগস্ত্য
अग्न्याशय,অগ্ন্যাশয়
अग्रहायण,অগ্রহায়ণ
अग्रिम,অগ্রিম
आगे,অগ্রে
अंकुश,অঙ্কুশ
अंग,অঙ্গ
आंगन,অঙ্গন
अकाला,অচলা
अप्रचलित,অচলিত
अच्युत,অচ্যুত
अजंता,অজন্ত
अजेय,অজয়
अज्ञात,অজানা
अंजनी,অঞ্জনি
अंजलि,অঞ্জলি
अरहर,অড়হর
अणु,অণু
अटलांटिक,অতলান্তিক
अतिथि,অতিথি
अतीत,অতীত
अदर्शन,অদর্শন
अदिति,অদিতি
अदृश्य,অদৃশ্য
अद्वितीय,অদ্বিতীয়
अद्वैत,অদ্বৈত
अधिक,অধিক
अधिकृत,অধিকৃত
अधिभार,অধিভার
अधीक्षक,অধীক্ষক
अधीर,অধৈর্য
अधोलोक,অধোলোক
अध्ययन,অধ্যয়ন
अध्यादेश,অধ্যাদেশ
अनन्तता,অনন্ত
अनभ्यस्त,অনভ্যস্ত
अनाक्रमण,অনাক্রমণ
अनाथ,অনাথ
अनिवासी,অনাবাসী
अनामिका,অনামিকা
अनिच्छा,অনিচ্ছা
अनिद्रा,অনিদ্রা
अनिवार्य,অনিবার্য
अनियंत्रित,অনিয়ন্ত্রিত
अनुकूल,অনুকূল
अनुक्रम,অনুক্রম
अनुग्रह,অনুগ্রহ
अनुचित,অনুচিত
अनुदान,অনুদান
अनुदार,অনুদার
अनुदैर्ध्य,অনুদৈর্ঘ্য
अनुपलब्ध,অনুপলব্ধ
अनुपात,অনুপাত
अनुप्रास,অনুপ্রাস
अनुवाद,অনুবাদ
अनुभाग,অনুবিভাগ
अनुभव,অনুভব
अनुमान,অনুমান
अनुमोदन,অনুমোদন
